,action,observation.effort,observation.force_torque,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index
30,"[ 0.3347571   0.6843925  -0.0702249   2.5211737   0.14070398  2.0763204
 -3.0617764   0.        ]","[ -1.9292558  -46.362354     2.116008    19.714321     1.2582839
  -1.6676394    0.27595556   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.33280095  0.6881131  -0.06507339  2.521575    0.15619951  2.071407
 -3.0481062   0.        ]","[ 0.00229412 -0.01992805 -0.02273579  0.00362951 -0.07122054  0.03269981
 -0.0766648   0.        ]",1.0,30,0,30,0
31,"[ 0.33568242  0.6841415  -0.07120346  2.520814    0.13742913  2.077408
 -3.064058    0.        ]","[-3.6874130e-01 -4.4446732e+01  1.1477445e+00  1.5515756e+01
  1.4608827e-01 -1.8685430e+00  3.9073927e-03  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 0.33300996  0.6869703  -0.06606472  2.52164     0.15282284  2.0729144
 -3.0517378   0.        ]","[ 0.00393767 -0.02304395 -0.0204759   0.00140387 -0.0688237   0.03252861
 -0.07550061  0.        ]",1.0333333,31,0,31,0
32,"[ 0.3366276   0.6842545  -0.07196525  2.5203433   0.1348083   2.0788033
 -3.0657098   0.        ]","[  0.93316406 -44.074627     0.824704    23.600893     1.3664691
  -1.8486165    0.3224541    0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.33321896  0.68642575 -0.0667109   2.52164     0.15093029  2.0735087
 -3.0532813   0.        ]","[ 0.00712205 -0.02526959 -0.02571472  0.00075329 -0.07998614  0.03020025
 -0.07471308  0.        ]",1.0666667,32,0,32,0
33,"[ 0.33723572  0.68446934 -0.07245969  2.5198686   0.13311367  2.0797656
 -3.0667183   0.        ]","[  1.3247554 -53.136513   -9.514587   12.415625   -6.357311    2.2329056
  -3.4834042   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.33353344  0.6857239  -0.0676754   2.52164     0.14804065  2.0744271
 -3.0558834   0.        ]","[ 0.00869712 -0.0203047  -0.02663922  0.         -0.07899316  0.02492719
 -0.06861825  0.        ]",1.1,33,0,33,0
34,"[ 0.33788472  0.6844736  -0.07302368  2.5195293   0.13134812  2.0805967
 -3.0675445   0.        ]","[ -1.18703   -44.769398    1.4147941  15.888554    1.5755475  -1.1476171
   0.6058076   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.33373863  0.6855034  -0.06815668  2.52164     0.1465642   2.0748432
 -3.0571816   0.        ]","[ 0.00818351 -0.01369626 -0.02229066  0.         -0.06779647  0.02020198
 -0.06135923  0.        ]",1.1333333,34,0,34,0
35,"[ 0.33937687  0.6844189  -0.07423709  2.51924     0.12749271  2.0813625
 -3.0697997   0.        ]","[-2.1953506e+00 -4.6356865e+01  1.2641482e+00  1.4013542e+01
  1.1233348e+00 -1.0912774e+00  2.1300457e-02  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 0.33431578  0.68507004 -0.06924964  2.521567    0.1432738   2.0757732
 -3.0597548   0.        ]","[ 0.01236087 -0.0096901  -0.02372877 -0.00130114 -0.07324073  0.0201335
 -0.05831181  0.        ]",1.1666666,35,0,35,0
36,"[ 0.3399515   0.6843044  -0.07475041  2.518879    0.12570135  2.0819962
 -3.0708508   0.        ]","[ -2.033679   -54.541718     1.4353997   13.678705     0.89409333
  -1.3311286    0.25687224   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.3348028   0.68482655 -0.06990926  2.5214005   0.14135824  2.0764406
 -3.0611546   0.        ]","[ 0.01681216 -0.01003251 -0.02592017 -0.0042116  -0.07837683  0.02441358
 -0.05803789  0.        ]",1.2,36,0,36,0
37,"[ 0.34069446  0.68461716 -0.07513719  2.5182254   0.12436364  2.0827754
 -3.0711884   0.        ]","[ -1.277667  -53.90236    -9.332169    7.215165   -6.8015656   1.6873925
  -3.65187     0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.33603     0.6845811  -0.07117096  2.5207522   0.13716473  2.0781317
 -3.0638735   0.        ]","[ 0.02472174 -0.00568395 -0.02643378 -0.01270328 -0.08529344  0.03468577
 -0.05612041  0.        ]",1.2333333,37,0,37,0
38,"[ 0.3411712   0.68467134 -0.07545854  2.5179138   0.12324767  2.0831134
 -3.0717707   0.        ]","[ -2.2297175  -44.647022     2.1081054   16.900223     1.5896053
  -1.8603508    0.06276771   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.3365477   0.6845715  -0.07168867  2.5204647   0.1355157   2.0787454
 -3.0648763   0.        ]","[ 0.02626257 -0.00270501 -0.02681042 -0.01448379 -0.08666307  0.03482273
 -0.05403173  0.        ]",1.2666667,38,0,38,0
39,"[ 0.342327    0.68514836 -0.07621778  2.516636    0.12096323  2.084994
 -3.0722485   0.        ]","[ -0.66092825 -55.380356     1.419992    17.362524     1.2730829
  -1.5405399    0.5259045    0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.3375467   0.6845639  -0.07267617  2.5199566   0.13241898  2.0797942
 -3.0668666   0.        ]","[ 0.02708435 -0.00030817 -0.0268789  -0.01420987 -0.08474559  0.02968664
 -0.05344964  0.        ]",1.3,39,0,39,0
