,action,observation.effort,observation.force_torque,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index,next.done
30,"[-0.00636271  0.7391635   0.0065407   2.5651164   0.52308375  2.1727512
 -2.0513947   0.        ]","[ 2.3516371e+00 -4.5563648e+01 -1.7655407e+00  1.3582157e+01
  1.0877575e+00 -1.7955343e+00  4.4278284e-03  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[-0.00406697  0.7475031   0.0115643   2.5611918   0.5367706   2.1511877
 -2.0448406   0.        ]","[-0.03389823 -0.0457455   0.00955314  0.00023968  0.00886833  0.108851
 -0.00102722  0.        ]",1.0,30,24,8806,0,False
31,"[-0.00682497  0.7376269   0.00540723  2.5658085   0.5196656   2.178664
 -2.0529907   0.        ]","[-11.7456255  -56.677692     8.43944     18.697168     7.330149
   0.07         0.63044053   0.        ]",[0. 0. 0. 0. 0. 0.],"[-0.00611291  0.7455434   0.0123217   2.5614815   0.5374417   2.1564107
 -2.0462613   0.        ]","[-0.04129421 -0.04160238  0.01513436  0.00541002  0.01376474  0.10710473
 -0.02749524  0.        ]",1.0333333,31,24,8807,0,False
32,"[-0.01461009  0.73640764  0.01284414  2.5647457   0.5335451   2.1832783
 -2.0556908   0.        ]","[ -9.699926   -46.878307    -6.154155    18.534548     2.8854568
  -0.97878665   0.74776566   0.        ]",[0. 0. 0. 0. 0. 0.],"[-0.006715    0.74446005  0.01205517  2.5619895   0.5362989   2.1592276
 -2.0471644   0.        ]","[-0.03526786 -0.04324593  0.00352679  0.01335385 -0.01462075  0.11340501
 -0.03468577  0.        ]",1.0666667,32,24,8808,0,False
33,"[-0.01266006  0.73368603  0.00818674  2.5667255   0.52219445  2.1908274
 -2.0591593   0.        ]","[  3.6486666 -56.871113   -7.0997996  26.885118   -4.976605    2.6414318
  -3.4803205   0.       ]",[0. 0. 0. 0. 0. 0.],"[-0.00680704  0.7418715   0.00962765  2.56346     0.5301188   2.1661305
 -2.0492392   0.        ]","[-0.00756718 -0.06005809 -0.04862171  0.0331107  -0.13031988  0.15980108
 -0.04869019  0.        ]",1.1,33,24,8809,0,False
34,"[-0.01258929  0.7299132   0.00583598  2.5684052   0.51383674  2.2033987
 -2.0645278   0.        ]","[  5.5188127 -46.629757   -8.692417   25.8762     -4.2172666  -2.214465
   0.2030014   0.       ]",[0. 0. 0. 0. 0. 0.],"[-0.006901    0.74092233  0.00891818  2.5639377   0.52821285  2.1687784
 -2.0500522   0.        ]","[-0.00332134 -0.06317399 -0.05601769  0.03478849 -0.14439279  0.17055264
 -0.05156641  0.        ]",1.1333333,34,24,8810,0,False
35,"[-0.01745697  0.72970456  0.01135319  2.5672884   0.52533543  2.2039247
 -2.0644386   0.        ]","[-13.944262  -54.057835    7.0315027  17.530958    3.9484487   2.9359958
  -3.0041325   0.       ]",[0. 0. 0. 0. 0. 0.],"[-0.00901022  0.7386961   0.00917129  2.564674    0.527653    2.175411
 -2.0526752   0.        ]","[-0.0393425  -0.05269635 -0.00431432  0.01934596 -0.03417216  0.15421985
 -0.05800365  0.        ]",1.1666666,35,24,8811,0,False
36,"[-0.01875109  0.72797745  0.01122304  2.5687535   0.5225952   2.2112749
 -2.0682578   0.        ]","[  1.4015883  -48.366688    -9.557505    27.15845     -6.381846
  -0.664681    -0.25736392   0.        ]",[0. 0. 0. 0. 0. 0.],"[-0.00985774  0.73656386  0.00815119  2.5657306   0.52353424  2.1825192
 -2.0556972   0.        ]","[-0.03215196 -0.05656554 -0.01636703  0.02482447 -0.08049975  0.18445434
 -0.07772626  0.        ]",1.2,36,24,8812,0,False
37,"[-0.01763193  0.72522366  0.00820144  2.5711572   0.5138885   2.2183404
 -2.0733643   0.        ]","[ 8.2295418e-01 -4.7478817e+01 -1.5460168e+00  1.8298208e+01
  4.7031257e-01 -7.7826941e-01  6.4872755e-03  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[-0.01202641  0.7339216   0.00828733  2.5665953   0.5221115   2.1909196
 -2.059166    0.        ]","[-0.04238991 -0.06067442 -0.00599211  0.02222218 -0.05499047  0.19547983
 -0.08159545  0.        ]",1.2333333,37,24,8813,0,False
38,"[-0.01953389  0.7237739   0.00907351  2.5714405   0.51482934  2.2235458
 -2.0745802   0.        ]","[  1.4849178  -46.53674     -2.1379573   18.436321     0.98688066
  -1.630365    -0.21196917   0.        ]",[0. 0. 0. 0. 0. 0.],"[-0.01316923  0.73302424  0.00882422  2.5667372   0.5226292   2.1936576
 -2.0602398   0.        ]","[-0.05790093 -0.05930479  0.01410714  0.01537405 -0.00835472  0.1855158
 -0.07536365  0.        ]",1.2666667,38,24,8814,0,False
39,"[-0.02162007  0.7231877   0.01046468  2.5723011   0.51564324  2.230051
 -2.0778887   0.        ]","[  2.9560916 -46.178448    5.6673994  18.637783    2.2039738  -0.5291349
  -0.5286834   0.       ]",[0. 0. 0. 0. 0. 0.],"[-0.0157118   0.72990257  0.0093918   2.5681753   0.5210952   2.203805
 -2.065162    0.        ]","[-0.04540309 -0.05574377  0.01013523  0.02568048 -0.02739251  0.18120149
 -0.08789573  0.        ]",1.3,39,24,8815,0,False
