,action,observation.effort,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index
45,"[-0.6791854  -0.62941176  0.61371166  1.3777877   0.2568062   1.6956813
 -0.22360176  0.        ]","[-0.7141181 -0.348054  -9.312176  18.236826  -0.4581647 -3.8892007
 -0.3216819  0.       ]","[-0.69150513 -0.6034604   0.58473045  1.4003462   0.23810641  1.6955377
 -0.25853136  0.        ]","[ 0.06009233 -0.12829968  0.14726901 -0.11789053  0.09549715  0.01397018
  0.18308471  0.        ]",1.5,45,124,74445,0
46,"[-0.6757377  -0.63496083  0.6227587   1.3721331   0.26140547  1.6950308
 -0.2153865   0.        ]","[ -1.9196897   -1.340219   -10.103896    16.87448     -1.0684404
  -0.9242412   -0.16433424   0.        ]","[-0.68610936 -0.61405826  0.5969812   1.3913033   0.24566318  1.6960957
 -0.24440724  0.        ]","[ 0.0556068  -0.11145329  0.13083349 -0.09556563  0.08255419  0.00362951
  0.15387745  0.        ]",1.5333333,46,124,74446,0
47,"[-0.6719993  -0.6404318   0.63511693  1.3657105   0.2671315   1.693085
 -0.2051925   0.        ]","[ -1.9196897   -1.340219   -10.103896    16.87448     -1.0684404
  -0.9242412   -0.16433424   0.        ]","[-0.68610936 -0.61405826  0.5969812   1.3913033   0.24566318  1.6960957
 -0.24440724  0.        ]","[ 0.0556068  -0.11145329  0.13083349 -0.09556563  0.08255419  0.00362951
  0.15387745  0.        ]",1.5666667,47,124,74447,0
48,"[-0.6708578  -0.64426166  0.63944256  1.3623719   0.2706997   1.6917073
 -0.1984843   0.        ]","[  9.107154  -10.302605   -2.6211164  10.050135    4.7096334  -3.2460206
   2.4974842   0.       ]","[-0.68326575 -0.6198241   0.6037173   1.386337    0.24972248  1.6962031
 -0.23693292  0.        ]","[ 0.06372184 -0.13237433  0.15374048 -0.11193266  0.09392209  0.0020202
  0.17421639  0.        ]",1.6,48,124,74448,0
49,"[-0.67025864 -0.6469586   0.64234585  1.3596599   0.27326885  1.6904011
 -0.19353414  0.        ]","[ -3.653176     0.22853325 -11.748904    15.913961    -0.71482295
  -2.7754316    0.16344285   0.        ]","[-0.6814537 -0.6236859  0.6078897  1.3829527  0.2525795  1.6961801
 -0.2315985  0.       ]","[ 5.22512197e-02 -1.04844846e-01  1.17753573e-01 -8.90256688e-02
  7.62539133e-02  6.84812840e-05  1.39804542e-01  0.00000000e+00]",1.6333333,49,124,74449,0
50,"[-0.66866297 -0.6523373   0.64898527  1.3547482   0.2782941   1.6876973
 -0.18365304  0.        ]","[ 2.2972667  -0.55880344 -5.239451   15.810008   -0.33203828 -2.8597927
 -0.27701837  0.        ]","[-0.6799408  -0.62736744  0.61245525  1.3794227   0.25553244  1.6958944
 -0.2259803   0.        ]","[ 0.04430739 -0.10861132  0.12521803 -0.10299585  0.08440319 -0.00558122
  0.16154735  0.        ]",1.6666666,50,124,74450,0
51,"[-0.6641628  -0.66023004  0.65850943  1.3490202   0.2837064   1.6876659
 -0.17461947  0.        ]","[-0.83122796 -2.7248242  -8.740312   17.443125   -0.05115698 -2.881095
 -0.0934953   0.        ]","[-0.674407   -0.63689923  0.6281651   1.3695534   0.26402685  1.6938791
 -0.2105542   0.        ]","[ 0.06317399 -0.11066575  0.19102855 -0.11504856  0.10255072 -0.02770068
  0.1873648   0.        ]",1.7,51,124,74451,0
52,"[-0.6632305  -0.66320056  0.6613305   1.3461723   0.28608868  1.6865319
 -0.17006731  0.        ]","[ 11.388518  -14.121617    2.8639276   8.496362    6.030326   -5.3066564
   3.5279253   0.       ]","[-0.6734943  -0.6387745   0.6312561   1.3676168   0.26587722  1.6932751
 -0.20723313  0.        ]","[ 0.05903087 -0.11148753  0.1867827  -0.11576761  0.10559814 -0.0318438
  0.19250089  0.        ]",1.7333333,52,124,74452,0
53,"[-0.6591565  -0.6719826   0.6705649   1.3378128   0.29250485  1.6851283
 -0.15879515  0.        ]","[ -4.667754     3.2264295  -15.332901    17.380213    -2.5365567
  -2.5261824   -0.45167336   0.        ]","[-0.67186826 -0.64251167  0.6365023   1.3641461   0.2691235   1.6920882
 -0.20119692  0.        ]","[ 0.05081311 -0.11111089  0.16168432 -0.10457093  0.09861305 -0.03441185
  0.18120149  0.        ]",1.7666667,53,124,74453,0
54,"[-0.65756375 -0.6760546   0.67494816  1.3326489   0.2957562   1.6838555
 -0.15324746  0.        ]","[ -4.4483514    4.6272764  -15.464222    16.421455    -1.677507
  -2.6866035   -0.15339737   0.        ]","[-0.6712508  -0.6442508   0.6387515   1.3625393   0.27065557  1.6913998
 -0.1981443   0.        ]","[ 0.04006155 -0.09779128  0.13384667 -0.09066922  0.08532768 -0.03348735
  0.16230065  0.        ]",1.8,54,124,74454,0
55,"[-0.6557825  -0.6786576   0.6800216   1.3275656   0.2980755   1.6829324
 -0.14953421  0.        ]","[ 13.159976   -12.438216     0.72852457  12.168353     5.65671
  -5.7546606    1.6678784    0.        ]","[-0.66727203 -0.65397626  0.65088916  1.3538377   0.27878183  1.6888458
 -0.18293488  0.        ]","[ 0.05752428 -0.13093622  0.16414964 -0.11583609  0.10491333 -0.02896758
  0.19719186  0.        ]",1.8333334,55,124,74455,0
56,"[-0.65415573 -0.6811725   0.68508667  1.3220764   0.30046692  1.6816761
 -0.14557192  0.        ]","[-1.4774913e+00 -1.3452147e+00 -1.1993197e+01  1.6690126e+01
 -2.1217868e+00 -5.4972606e+00  7.8811282e-03  0.0000000e+00]","[-0.66541016 -0.65786874  0.6555697   1.350626    0.28190732  1.6879522
 -0.17750843  0.        ]","[ 0.05016254 -0.10641991  0.12833393 -0.08882023  0.08183514 -0.02290699
  0.14665267  0.        ]",1.8666667,56,124,74456,0
